id;nome;capacidade_pessoas;capacidade_peso;capacidade_area;eixos;altura;nivel_cnh
1;connecting;17386;8915;39942;16910;81825;C
2;partnerships;31354;68858;74876;18211;292;E
3;users;8543;99691;32200;19916;53557;C
4;Alameda zero Ucrânia;31838;98135;27130;28098;73507;E
5;partnerships Algodão bifurcated;11024;40245;9808;26290;29348;B
6;Account back-end;58503;65058;3296;61353;20322;D
7;Maranhão Buckinghamshire copy;6375;61131;69562;80869;41237;E
8;Berkshire testing;37249;20948;29081;94255;27804;A
9;generate Graphic 24/7;64780;76958;24722;22601;16805;B
10;SMTP;58970;21589;13673;29390;13817;E
