id;placa;modelo;ano;disponivel;criado
1;Travessa;deposit Sem;74598;true;2021-05-12T08:28:25
2;Georgia invoice Ferramentas;Lustroso Eletrônicos;74917;true;2021-05-11T15:02:28
3;override;matrix;12688;false;2021-05-11T14:42:42
4;Travessa Rondônia;Mouse Chapéu;83461;true;2021-05-12T01:11:40
5;Livros leverage;Buckinghamshire;25653;false;2021-05-12T09:50:35
6;Plástico;niches tangible architectures;37212;true;2021-05-12T08:25:09
7;virtual;enable Philippine Dynamic;40760;false;2021-05-12T07:15:41
8;Salada;Direct azul Borders;80929;false;2021-05-11T17:33:38
9;orchestrate Equador initiatives;bluetooth Macio Specialist;1692;true;2021-05-11T14:26:59
10;throughput matrix;homogeneous online;94706;false;2021-05-11T13:58:33
